,source,author,title,price
56,https://d7hftxdivxxvm.cloudfront.net?height=436&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fa1ThjUiqH-Rlll5x9_0FWA%2Flarger.jpg&width=445,Aboudia,"Baramôgô Yêrêyêrê, 2018","€140,000 "
57,https://d7hftxdivxxvm.cloudfront.net?height=304&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FQKOkJFecuWXw7rNttboqTA%2Flarger.jpg&width=445,Leonie Schneider,"Hank Halibut, 2023","€2,000 "
58,https://d7hftxdivxxvm.cloudfront.net?height=563&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-COVkYUM0FaXP17Bml7c-A%2Flarger.jpg&width=445,Brianna Rose Brooks,"Fertile void, 2022","US$8,000 "
59,https://d7hftxdivxxvm.cloudfront.net?height=505&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FQvvmL0_FN_aZyaVTS_8gaw%2Flarger.jpg&width=445,Chris Ofili,"Nude Study in Blue, 2006","US$40,000–US$45,000 "
60,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F0gtox8lSL_ToGUO9lPiPMA%2Flarger.jpg&width=445,Stephen Forbes,"Chill, 2023","£3,900 "
61,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FEk53IBB903Hoz_Y7p2UADg%2Flarger.jpg&width=445,Danny Gretscher,"Analogue Flowers #2 High Life, 2022","US$6,200–US$9,200 "
62,https://d7hftxdivxxvm.cloudfront.net?height=454&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FBL8cTZBmCU9oeU6Z143UoQ%2Flarger.jpg&width=445,Kayla Mahaffey,"The Sweeter The Juice, 2019","US$50,000 "
63,https://d7hftxdivxxvm.cloudfront.net?height=342&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FLY_J2zY0YBMNA7Nuqo_coQ%2Flarger.jpg&width=445,Olive Ayhens,"The Waves are Coming, 2020","US$25,000 "
64,https://d7hftxdivxxvm.cloudfront.net?height=536&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FiWxaI3Caf1Q11oUtho8RXQ%2Flarger.jpg&width=445,Yuki Nishimoto,"Saizoh, 2021","€4,200 "
65,https://d7hftxdivxxvm.cloudfront.net?height=1934&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FxqdZdKJN1rdOySCjn9TlYg%2Flarger.jpg&width=445,Noemi Durighello,"Alphabet (triptych no. 7), 2022-2023","€1,800 "
